No.,Expression,Reading,Meaning
4350,友,とも,"friend, companion, pal"
4351,共に,ともに,"sharing with, participate in"
4352,虎,とら,tiger
4353,ドライブ,ドライブ,"drive, driving"
4354,トラック,トラック,truck; (running) track
4355,ドラマ,ドラマ,drama
4356,トランプ,トランプ,playing cards (lit: trump)
4357,取り上げる,とりあげる,"to take up, to pick up; to confiscate"
4358,努力,どりょく,"great effort, exertion, endeavor"
4359,トレーニング,トレーニング,training
4360,ドレス,ドレス,dress
4361,取れる,とれる,"to come off, to be taken off"
4362,泥,どろ,mud
4363,トン,トン,ton (1000 lbs.)
4364,とんでもない,とんでもない,"outrageous, No way!"
4365,どんなに,どんなに,"how, how much"
4366,トンネル,トンネル,tunnel
4367,名,な,"name, reputation"
4368,内容,ないよう,"subject, contents, detail"
4369,なお,なお,"still, yet"
4370,仲,なか,"relation, relationship"
4371,流す,ながす,"to drain, to float, to shed (e.g., blood, tears)"
4372,半ば,なかば,"middle, halfway"
4373,仲間,なかま,"company, fellow, colleague, associate"
4374,中身,なかみ,content(s); substance
4375,中味,なかみ,"contents, interior, filling"
4376,眺め,ながめ,scene; view; prospect; outlook
4377,眺める,ながめる,"to view, to gaze at"
4378,流れ,ながれ,"stream, current"
4379,流れる,ながれる,"to flow, to be washed away"
4380,亡くす,なくす,to lose someone
4381,殴る,なぐる,to strike; to hit; to punch
4382,無し,なし,without
4383,なぜなら,なぜなら,because
4384,謎,なぞ,"riddle, puzzle, enigma"
4385,納得,なっとく,"consent, assent, understanding"
4386,何か,なにか,something
4387,なにも,なにも,nothing
4388,鍋,なべ,"saucepan, pot"
4389,生,なま,"raw, unprocessed"
4390,怠ける,なまける,"to be idle, to neglect"
4391,波,なみ,wave
4392,涙,なみだ,tear
4393,悩む,なやむ,"to agonize, to be troubled"
4394,鳴らす,ならす,"to ring, to sound"
4395,為る,なる,"to change, to be of use, to reach to"
4396,生る,なる,to bear fruit
4397,馴れる,なれる,"to become domesticated, to become tame"
4398,縄,なわ,rope
4399,何で,なんで,"Why, What for"
4400,何でも,なんでも,"by all means, everything"
4401,何とか,なんとか,"somehow, anyhow, one way or another"
4402,似合う,にあう,"to suit (a person), to match (clothing), (something) becomes (someone)"
4403,煮える,にえる,"to boil, to cook, to be cooked"
4404,苦手,にがて,"poor (at), weak (in), dislike (of)"
4405,握る,にぎる,"to grasp, to seize, to mold sushi"
4406,日,にち,day
4407,日常,にちじょう,"ordinary, regular, everyday"
4408,日光,にっこう,sunlight
4409,日中,にっちゅう,"daytime, broad daylight"
4410,にっこり,にっこり,"smile sweetly, smile, grin"
4411,日本,にっぽん,Japan
4412,日本,にほん,Japan
4413,入場,にゅうじょう,"entrance, admission, entering"
4414,煮る,にる,"to boil, to cook"
4415,人気,にんき,popularity
4416,人間,にんげん,"human being, person"
4417,抜く,ぬく,"to extract, to omit, to unplug"
4418,抜ける,ぬける,"to come out, to fall out, to be omitted"
4419,布,ぬの,cloth
4420,濡らす,ぬらす,"to wet, to soak"
4421,根,ね,root
4422,値,ね,"value, price, cost"
4423,願い,ねがい,"desire, wish, request"
4424,願う,ねがう,"to desire, to wish, to request"
4425,鼠,ねずみ,"mouse, rat"
4426,熱帯,ねったい,tropics
4427,熱中,ねっちゅう,"enthusiasm, zeal, mania"
4428,年間,ねんかん,year
4429,年月,ねんげつ,months and years
4430,年中,ねんじゅう,"whole year, always, everyday"
4431,年代,ねんだい,"age, era, period"
4432,年齢,ねんれい,"age, years"
4433,野,の,field
4434,能,のう,"being skilled in, nicely, properly"
4435,農家,のうか,"farmer, farm family"
4436,農業,のうぎょう,agriculture
4437,農民,のうみん,"farmers, peasants"
4438,能力,のうりょく,"ability, faculty"
4439,ノー,ノー,no
4440,軒,のき,eaves
4441,残す,のこす,"to leave (behind, over), to save, to reserve"
4442,残り,のこり,"remaining, left-over"
4443,乗せる,のせる,"to place on (something), to take on board"
4444,載せる,のせる,to place on (something); to publish
4445,覗く,のぞく,"to peek in, to look in"
4446,除く,のぞく,"to remove, to exclude, to except"
4447,望み,のぞみ,"wish, desire, (a) hope"
4448,望む,のぞむ,"to desire, to wish for; to view"
4449,後,のち,"afterwards, since then"
4450,ノック,ノック,knock; fungo (baseball)
4451,伸ばす,のばす,"to extend, to stretch, to reach out"
4452,延ばす,のばす,"to extend, to stretch, to reach out"
4453,伸びる,のびる,"to extend, to make progress, to grow"
4454,延びる,のびる,to be prolonged
4455,述べる,のべる,"to state, to express, to mention"
4456,上る,のぼる,"to ascend, to go up, to climb"
4457,昇る,のぼる,"to arise, to ascend, to go up"
4458,載る,のる,"to appear (in print), to be recorded"
4459,のんびり,のんびり,"carefree, at leisure"
4460,場,ば,"place, field (physics)"
4461,はあ (かん),はあ (かん),(sigh)
4462,パーセント,パーセント,percent
4463,灰,はい,ash
4464,梅雨,ばいう,rainy season
4465,バイオリン,バイオリン,violin
4466,ハイキング,ハイキング,hiking
4467,配達,はいたつ,"delivery, distribution"
4468,パイプ,パイプ,pipe; channels official or otherwise
4469,俳優,はいゆう,"actor, actress, performer"
4470,パイロット,パイロット,pilot
4471,生える,はえる,"to grow, to spring up; to cut (teeth)"
4472,墓,はか,"grave, tomb"
4473,馬鹿,ばか,"fool, idiot"
4474,博士,はかせ,"doctorate, PhD., doctor"
4475,計る,はかる,"to measure, to weigh, to survey"
4476,量る,はかる,"to measure, to weigh, to survey"
4477,測る,はかる,"to measure, to weigh, to survey"
4478,掃く,はく,"to sweep, to brush, to gather up"
4479,吐く,はく,"to throw up, to vomit"
4480,拍手,はくしゅ,"clapping hands, applause"
4481,莫大,ばくだい,"enormous, vast"
4482,爆発,ばくはつ,"explosion, detonation, eruption"
4483,博物館,はくぶつかん,museum
4484,激しい,はげしい,"violent, vehement, intense"
4485,はさみ,はさみ,scissors
4486,破産,はさん,(personal) bankruptcy
4487,端,はし,"end (e.g., of street), edge, margin"
4488,始まり,はじまり,"origin, beginning"
4489,パス,パス,"path, pass (in games)"
4490,外す,はずす,"to unfasten, to remove"
4491,パスポート,パスポート,passport
4492,外れる,はずれる,"to be disconnected, to be out (e.g., of gear)"
4493,旗,はた,flag
4494,肌,はだ,skin
4495,裸,はだか,"naked, nude"
4496,畑,はたけ,"field, patch"
4497,働き,はたらき,"work, labor"
4498,バッグ,バッグ,bag
4499,発見,はっけん,"discovery, detection, finding"
4500,発行,はっこう,issue (publications)
4501,発車,はっしゃ,departure of a vehicle
4502,発射,はっしゃ,"firing, shooting, discharge"
4503,罰する,ばっする,"to punish, to penalize"
4504,発達,はったつ,"development, growth"
4505,ばったり,ばったり,(to meet) by chance
4506,発展,はってん,"development, growth, progress"
4507,発表,はっぴょう,announcement; publication; presentation
4508,発明,はつめい,invention
4509,派手,はで,"showy, flashy, gaudy"
4510,話し合う,はなしあう,"to discuss, to talk together"
4511,離す,はなす,"to part, to separate"
4512,放す,はなす,"to separate, to set free"
4513,離れる,はなれる,"(something, someone) separates; parts from; to be apart"
4514,放れる,はなれる,"to leave, to get free, to cut oneself off"
4515,羽,はね,wing
4516,羽根,はね,feather
4517,幅,はば,"width, breadth"
4518,母親,ははおや,mother
4519,省く,はぶく,"to omit, to eliminate"
4520,場面,ばめん,"scene, setting (e.g., of novel)"
4521,流行る,はやる,"to be popular, to come into fashion"
4522,腹,はら,"abdomen, belly, stomach"
4523,原,はら,"field, plain"
4524,バランス,バランス,balance
4525,針,はり,"needle, hand (e.g., clock)"
4526,範囲,はんい,"extent, scope, range"
4527,反抗,はんこう,"opposition, resistance"
4528,犯罪,はんざい,crime
4529,ハンサム,ハンサム,handsome
4530,反省,はんせい,"reflection, reconsideration, regret"
4531,判断,はんだん,"judgment, decision"
4532,犯人,はんにん,"offender, criminal"
4533,販売,はんばい,"sale, selling, marketing"
4534,灯,ひ,light
4535,ビール,ビール,beer
4536,被害,ひがい,damage
4537,比較,ひかく,comparison
4538,ピクニック,ピクニック,picnic
4539,悲劇,ひげき,tragedy
4540,飛行,ひこう,"aviation, flight"
4541,膝,ひざ,"knee, lap"
4542,非常,ひじょう,"emergency, extraordinary, unusual"
4543,美人,びじん,beautiful person (woman)
4544,額,ひたい,"forehead, brow"
4545,日付,ひづけ,"date, dating"
4546,引越し,ひっこし,"moving, changing residence"
4547,必死,ひっし,"desperation, frantic, inevitable result"
4548,ぴったり,ぴったり,"exactly, neatly, sharp"
4549,引っ張る,ひっぱる,"to pull, to stretch, to drag"
4550,否定,ひてい,"negation, denial"
4551,ビデオ,ビデオ,video tape; VCR
4552,一言,ひとこと,one word
4553,人込み,ひとごみ,crowd of people
4554,等しい,ひとしい,equal
4555,独り,ひとり,"alone, unmarried"
4556,一人一人,ひとりひとり,"one by one, each"
4557,批判,ひはん,criticism
4558,批評,ひひょう,"criticism, review, commentary"
4559,秘密,ひみつ,"secret, secrecy"
4560,微妙,びみょう,"delicate, subtle"
4561,紐,ひも,"string, cord"
4562,冷やす,ひやす,"to cool, to refrigerate"
4563,費用,ひよう,"cost, expense"
4564,表,ひょう,"table (e.g., Tab 1), chart, list"
4565,秒,びょう,second (60th min)
4566,評価,ひょうか,"assessment, evaluation"
4567,表現,ひょうげん,"expression, presentation"
4568,表情,ひょうじょう,facial expression
4569,平等,びょうどう,"equality, impartiality, evenness"
4570,評判,ひょうばん,"fame, reputation"
4571,表面,ひょうめん,"surface, outside, face"
4572,広がる,ひろがる,"to spread (out), to extend, to stretch, to reach to, to get around"
4573,広げる,ひろげる,"to spread, to extend, to expand, to enlarge"
4574,広める,ひろめる,"to broaden, to propagate"
4575,品,ひん,"goods; taste, elegance"
4576,瓶,びん,bottle
4577,便,びん,"way, means; flight"
4578,ピン,ピン,pin
4579,不,ふ,"un(~), non(~), negative prefix"
4580,不,ぶ,"un(~), non(~), negative prefix"
4581,無,ぶ,"nothing, naught, nil, zero"
4582,分,ぶ,"dividing, part"
4583,不安,ふあん,"anxiety, uneasiness"
4584,風景,ふうけい,scenery
4585,夫婦,ふうふ,"married couple, husband and wife"
4586,笛,ふえ,"flute, whistle"
4587,不可,ふか,"wrong, bad, impossible"
4588,深まる,ふかまる,to deepen
4589,武器,ぶき,"weapon, arms"
4590,拭く,ふく,"to wipe, to dry"
4591,服装,ふくそう,"clothes, attire"
4592,含む,ふくむ,"to contain, to include"
4593,含める,ふくめる,to include
4594,袋,ふくろ,"bag, sack"
4595,不幸,ふこう,"unhappiness, sorrow, misfortune"
4596,節,ふし,"tune, tone, knob"
4597,無事,ぶじ,"safety, peace"
4598,不思議,ふしぎ,"mystery, curiosity"
4599,不自由,ふじゆう,"discomfort, disability, inconvenience"
4600,夫人,ふじん,"wife, Mrs, madam"
4601,婦人,ふじん,woman (same as 女性 (じょせい)、女の人 (おんなのひと))
4602,不正,ふせい,"injustice, unfairness"
4603,防ぐ,ふせぐ,"to defend (against), to protect, to prevent"
4604,不足,ふそく,"insufficiency, shortage"
4605,舞台,ぶたい,stage (theater)
4606,双子,ふたご,"twins, a twin"
4607,再び,ふたたび,"again, once more, a second time"
4608,普段,ふだん,"in everyday situations, usually, ordinarily"
4609,縁,ふち,"edge, rim"
4610,打つ,ぶつ,"to hit, to strike"
4611,不通,ふつう,"blockade, interruption, stoppage"
4612,物価,ぶっか,(commodity/consumer) prices
4613,ぶつかる,ぶつかる,"to strike, to collide with"
4614,ぶつける,ぶつける,"to knock, to strike hard, to hit and attack"
4615,物質,ぶっしつ,"material, substance"
4616,物理,ぶつり,physics
4617,筆,ふで,writing brush
4618,ふと,ふと,"suddenly, accidentally, incidentally"
4619,部分,ぶぶん,"portion, section, part"
4620,不平,ふへい,"complaint, discontent, dissatisfaction"
4621,不満,ふまん,"dissatisfaction, discontent, complaints"
4622,増やす,ふやす,"to increase (v.t.), to add to"
4623,殖やす,ふやす,"to increase, to add to"
4624,プラス,プラス,plus
4625,プラスチック,プラスチック,plastic
4626,プラン,プラン,plan
4627,不利,ふり,"disadvantage, drawback"
4628,振る,ふる,"to wave, to shake; to sprinkle; to cast (actor)"
4629,震える,ふるえる,"to shiver, to shake, to quake"
4630,ブレーキ,ブレーキ,a brake
4631,触れる,ふれる,"to touch, to feel, to violate"
4632,プロ,プロ,professional
4633,分,ぶん,"dividing, part, segment"
4634,文,ぶん,sentence
4635,雰囲気,ふんいき,"atmosphere (e.g., musical), mood, ambiance"
4636,分析,ぶんせき,analysis
4637,文明,ぶんめい,civilization
4638,分野,ぶんや,"field, sphere"
4639,塀,へい,"wall, fence"
4640,平均,へいきん,"equilibrium, balance, average"
4641,平和,へいわ,peace
4642,別に,べつに,"(not) particularly, nothing"
4643,減らす,へらす,"to decrease, to diminish"
4644,減る,へる,"to decrease (in size or number), to diminish"
4645,ベルト,ベルト,Belt for western clothes
4646,変化,へんか,"change, variation, shift"
4647,ペンキ,ペンキ,paint
4648,変更,へんこう,"change, modification, alteration"
4649,ベンチ,ベンチ,bench
4650,弁当,べんとう,box lunch
4651,方,ほう,side
4652,法,ほう,Act (law: the X Act)
4653,棒,ぼう,"pole, rod, stick"
4654,冒険,ぼうけん,"risk, venture, adventure"
4655,方向,ほうこう,"direction, course, way"
4656,報告,ほうこく,"report, information"
4657,宝石,ほうせき,"gem, jewel"
4658,包装,ほうそう,"packing, wrapping"
4659,豊富,ほうふ,"abundance, plenty"
4660,方法,ほうほう,"method, means, technique"
4661,方々,ほうぼう,"here and there, everywhere"
4662,訪問,ほうもん,"call, visit"
4663,吠える,ほえる,"to bark, to howl"
4664,ボーイ,ボーイ,porter; boy
4665,ボート,ボート,rowing boat
4666,ホーム,ホーム,platform; home
4667,ボール,ボール,ball; bowl
4668,他,ほか,other (esp. places and things)
4669,誇り,ほこり,pride
4670,埃,ほこり,dust
4671,保証,ほしょう,"guarantee, assurance, warranty"
4672,保存,ほぞん,"preservation, conservation"
4673,歩道,ほどう,walkway
4674,仏,ほとけ,Buddha
4675,骨,ほね,bone
4676,炎,ほのお,flame
4677,頬,ほほ,cheek (of face)
4678,頬,ほお,cheek (of face)
4679,ほぼ,ほぼ,"almost, roughly"
4680,微笑む,ほほえむ,to smile
4681,堀,ほり,"moat, canal"
4682,濠,ほり,moat
4683,本当,ほんと,"truth, reality"
4684,本人,ほんにん,the person himself
4685,本物,ほんもの,genuine article
4686,ぼんやり,ぼんやり,"dim, faint, vague"
4687,間,ま,"space, room, pause"
4688,まあ,まあ,well (used when making a modest or hesitant statement)
4689,マーケット,マーケット,market
4690,マイク,マイク,mic
4691,迷子,まいご,lost (stray) child
4692,マイナス,マイナス,minus
4693,任せる,まかせる,"to entrust to another, to leave to"
4694,巻く,まく,"to wind, to coil, to roll"
4695,蒔く,まく,to sow (seeds)
4696,撒く,まく,"to scatter, to sprinkle, to sow"
4697,幕,まく,"curtain, act (in play)"
4698,負け,まけ,"defeat, loss"
4699,孫,まご,grandchild
4700,まさか,まさか,by no means
4701,まさに,まさに,"correctly, surely"
4702,混ざる,まざる,"to be mixed, to mingle with"
4703,交ざる,まざる,"to be mixed, to mingle with"
4704,混じる,まじる,"to be mixed, to mingle with"
4705,交じる,まじる,"to be mixed, to mingle with"
4706,増す,ます,"to increase, to gain"
4707,貧しい,まずしい,"poor, needy"
4708,マスター,マスター,"bar owner, master (e.g., arts, science)"
4709,ますます,ますます,"increasingly (same as もっと), more and more"
4710,混ぜる,まぜる,"to mix, to stir"
4711,交ぜる,まぜる,"to be mixed, to be blended with"
4712,街,まち,"town; street, road"
4713,間違い,まちがい,mistake
4714,松,まつ,pine tree
4715,真っ赤,まっか,"deep red, flushed (of face)"
4716,全く,まったく,"really, completely"
4717,祭,まつり,"festival, feast"
4718,まとまる,まとまる,"to be collected, to be settled, to be in order"
4719,まとめる,まとめる,"to put in order, to collect, to bring to a conclusion"
4720,学ぶ,まなぶ,to learn; to study
4721,真似,まね,"mimicry, imitation, behavior"
4722,招く,まねく,to invite
4723,まぶしい,まぶしい,"dazzling, radiant"
4724,柵,さく,"fence, paling"
4725,裂ける,さける,"to split, to tear, to burst"
4726,裁く,さばく,to judge
4727,酸化,さんか,oxidation
4728,死,し,"death, decease"
4729,資格,しかく,"qualifications, requirements, capabilities"
4730,視覚,しかく,"sense of sight, vision"
4731,指揮,しき,"command, direction"
4732,磁気,じき,magnetism
4733,磁器,じき,"porcelain, china"
4734,自己,じこ,"self, oneself"
4735,字体,じたい,"font, lettering"
4736,辞退,じたい,refusal
4737,視点,してん,"opinion, point of view, visual point"
4738,脂肪,しぼう,"fat, grease"
4739,志望,しぼう,"wish, desire, ambition"
4740,衆,しゅう,"masses, people"
4741,住,じゅう,"dwelling, living"
4742,修飾,しゅうしょく,ornamentation; modification (gram)
4743,私用,しよう,"personal use, private business"
4744,仕様,しよう,"way, method, specification"
4745,情,じょう,"feelings, emotion, passion"
4746,生涯,しょうがい,one's lifetime
4747,上司,じょうし,one's superior
4748,正体,しょうたい,"natural shape, one's true colors, true character"
4749,照明,しょうめい,illumination
4750,女史,じょし,Ms.
4751,助詞,じょし,"(gram) particle(s), postposition"
4752,ショック,ショック,shock
4753,進行,しんこう,advance
4754,新興,しんこう,"rising, developing, emergent"
4755,振興,しんこう,"promotion, encouragement"
4756,申告,しんこく,"report, statement"
4757,真理,しんり,truth
4758,水洗,すいせん,flushing
4759,ストレス,ストレス,stress
4760,擦る,する,"to rub, to chafe"
4761,正規,せいき,"regular, legitimate"
4762,精巧,せいこう,"elaborate, delicate, exquisite"
4763,精算,せいさん,"exact calculation, adjustment"
4764,成年,せいねん,"majority, adult age"
4765,声明,せいめい,"declaration, statement, proclamation"
4766,姓名,せいめい,full name
4767,生理,せいり,"physiology, menses"
4768,節,せつ,"when, if; section; clause"
4769,膳,ぜん,"(small) table, tray, meal"
4770,禅,ぜん,Zen (Buddhism)
4771,選挙,せんきょ,election
4772,先行,せんこう,"preceding, going first"
4773,選考,せんこう,"selection, screening"
4774,相,そう,"aspect, phase, countenance"
4775,沿う,そう,"to run along, to follow"
4776,添う,そう,"to accompany, to comply with"
4777,僧,そう,"monk, priest"
4778,像,ぞう,"statue, image"
4779,捜査,そうさ,"search (esp. in criminal investigations, investigation)"
4780,操縦,そうじゅう,"management, control, manipulation"
4781,創造,そうぞう,creation
4782,隊,たい,"party, troops"
4783,退学,たいがく,dropping out of school
4784,タイトル,タイトル,title
4785,ダウン,ダウン,down
4786,高まる,たかまる,to rise; to grow; to mount (v.i.)
4787,断つ,たつ,"to sever, to cut off"
4788,盾,たて,shield
4789,例え,たとえ,example; even though
4790,チャイム,チャイム,chime
4791,挑戦,ちょうせん,"challenge, defiance"
4792,治療,ちりょう,medical treatment
4793,対,つい,"pair, couple, set"
4794,接ぐ,つぐ,to join; to piece together; to set (bones); to graft (trees)
4795,継ぐ,つぐ,to succeed (someone in a business or inheritance
4796,摘む,つむ,"to pluck, to pick, to trim"
4797,露,つゆ,dew
4798,強まる,つよまる,"to get strong, to gain strength"
4799,強める,つよめる,"to strengthen, to emphasize"
4800,データ,データ,data
4801,デザイン,デザイン,design
4802,デザート,デザート,dessert
4803,転校,てんこう,change schools
4804,伝言,でんごん,verbal message
4805,と,と,and
4806,問う,とう,"to ask, to question"
4807,棟,とう,ridge (of roof
4808,倒産,とうさん,"(corporate) bankruptcy, insolvency"
4809,同士,どうし,"one another, companion, comrade"
4810,同志,どうし,"same mind, comrade, kindred soul"
4811,当然,とうぜん,obvious; natural
4812,動揺,どうよう,"disturbance, flutter shock"
4813,説く,とく,"to explain, to advocate"
4814,綴じる,とじる,"to bind, to file"
4815,供,とも,"accompanying, attendant, companion, retinue"
4816,並,なみ,"medium (e.g., food serving size, quality, price, etc.), ordinary"
4817,慣らす,ならす,to accustom
4818,馴らす,ならす,"to domesticate, to tame"
4819,難,なん,"difficulty, hardships, defect"
4820,音,ね,"sound, note"
4821,年鑑,ねんかん,yearbook
4822,脳,のう,"brain, memory"
4823,臨む,のぞむ,"to look out on, to face, to attend (function)"
4824,肺,はい,lung
4825,～敗,はい,"counter for loss, defeat"
4826,映える,はえる,"to shine, to look attractive, to look pretty"
4827,諮る,はかる,"to consult with, to confer"
4828,図る,はかる,"to plot, to attempt, to devise, to design, to refer A to B"
4829,生やす,はやす,"to grow, to cultivate, to wear beard"
4830,班,はん,"group, party, section (mil)"
4831,判,はん,size (of paper or books)
4832,版,はん,edition
4833,碑,ひ,stone monument bearing an inscription
4834,非行,ひこう,"delinquency, misconduct"
4835,票,ひょう,"label, ballot, sign"
4836,広まる,ひろまる,"to spread, to be propagated"
4837,深める,ふかめる,"to deepen, to heighten, to intensify"
4838,福,ふく,good fortune
4839,振り,ふり,"style, manner"
4840,経る,へる,"to pass, to elapse, to experience"
4841,保護,ほご,"care, protection, shelter"
4842,保障,ほしょう,"guarantee, security, warranty"
4843,補償,ほしょう,"compensation, reparation"
4844,ほっと,ほっと,feel relieved
4845,前もって,まえもって,"in advance, beforehand, previously"
4846,膜,まく,"membrane, film"
4847,マスコミ,マスコミ,mass communication
4848,股,また,"thigh, crotch"
4849,末,まつ,the end of
4850,マッサージ,マッサージ,massage
4851,見掛ける,みかける,"to (happen to see), to notice, to catch sight of"
4852,捲る,めくる,"to turn over, to turn pages of a book"
4853,メッセージ,メッセージ,message
4854,野党,やとう,opposition party
4855,優,ゆう,"superiority, high grade"
4856,有機,ゆうき,organic
4857,世,よ,"world, society, generation"
4858,良い,よい,"good, nice"
4859,予想,よそう,"expectation, anticipation, prediction"
4860,弱まる,よわまる,"to weaken, to be emaciated, to be dejected"
4861,弱める,よわめる,to weaken
4862,ラベル,ラベル,label
4863,ルール,ルール,rule
4864,枠,わく,"frame, slide"
4865,N2,,
4866,就任,しゅうにん,"inauguration, assumption of office"
4867,周辺,しゅうへん,"circumference, peripheral"
4868,重役,じゅうやく,"director, high executive"
4869,終了,しゅうりょう,"end, close, termination"
4870,重量,じゅうりょう,heavyweight
4871,重力,じゅうりょく,gravity
4872,熟語,じゅくご,"idiom, kanji compound"
4873,祝日,しゅくじつ,national holiday
4874,縮小,しゅくしょう,"reduction, curtailment"
4875,受験,じゅけん,taking an examination
4876,主語,しゅご,(gram) subject
4877,主人,しゅじん,(one's own) husband
4878,出勤,しゅっきん,"going to work, at work"
4879,述語,じゅつご,predicate
4880,出張,しゅっちょう,"official tour, business trip"
4881,寿命,じゅみょう,life span
4882,主役,しゅやく,leading part
4883,受話器,じゅわき,(telephone) receiver
4884,循環,じゅんかん,"circulation, rotation, cycle"
4885,巡査,じゅんさ,policeman
4886,順々,じゅんじゅん,"in order, in turn"
4887,順序,じゅんじょ,"order, sequence, procedure"
4888,純情,じゅんじょう,pure heart
4889,純粋,じゅんすい,"pure, genuine, unmixed"
4890,初～,しょ～,first ~
4891,諸～,しょ～,various ~
4892,～所,～しょ,place
4893,～所,～じょ,place
4894,女～,じょ～,things done by women
4895,～女,～じょ,count for sisters
4896,省～,しょう～,economizing ~
4897,～省,～しょう,kind of ministry
4898,～商,～しょう,"merchant, business"
4899,～勝,～しょう,count for victory
4900,～条,～じょう,counter for article
4901,～場,～じょう,"kind of field, ground"
4902,～畳,～じょう,"count for tatami, mat"
4903,消化,しょうか,digestion
4904,小学生,しょうがくせい,elementary school pupil
4905,しょうがない,しょうがない,It is not worth ~
4906,将棋,しょうぎ,Japanese chess
4907,蒸気,じょうき,"steam, vapor"
4908,定規,じょうぎ,(measuring) ruler
4909,上級,じょうきゅう,"advanced level, high grade, senior"
4910,商業,しょうぎょう,"commerce, trade, business"
4911,消極的,しょうきょくてき,passive
4912,賞金,しょうきん,"prize, monetary award"
4913,上下,じょうげ,"high and low, up and down"
4914,障子,しょうじ,paper sliding door
4915,商社,しょうしゃ,trading company
4916,乗車,じょうしゃ,"taking a train, entraining"
4917,上旬,じょうじゅん,first 10 days of month
4918,生ずる,しょうずる,"to cause, to arise, to be generated"
4919,小数,しょうすう,"fraction (part of), decimal"
4920,商店,しょうてん,"shop, business firm"
4921,焦点,しょうてん,"focus, point"
4922,消毒,しょうどく,disinfection
4923,勝敗,しょうはい,"victory or defeat, issue (of battle)"
4924,蒸発,じょうはつ,evaporation; unexplained disappearance
4925,上品,じょうひん,"refined, elegant, well-mannered"
4926,勝負,しょうぶ,"victory or defeat, game"
4927,小便,しょうべん,"(col) urine, piss"
4928,消防署,しょうぼうしょ,fire station
4929,正味,しょうみ,net (weight)
4930,正面,しょうめん,front
4931,消耗,しょうもう,"exhaustion, consumption"
4932,初級,しょきゅう,elementary level
4933,助教授,じょきょうじゅ,assistant professor
4934,～色,～しょく,kind of color
4935,食塩,しょくえん,table salt
4936,職人,しょくにん,"artisan, craftsman"
4937,職場,しょくば,workplace
4938,初旬,しょじゅん,first 10 days of the month
4939,書籍,しょせき,"book, publication"
4940,食器,しょっき,tableware
4941,ショップ,ショップ,a shop
4942,書店,しょてん,bookshop
4943,書道,しょどう,calligraphy
4944,初歩,しょほ,"elements, rudiments"
4945,白髪,しらが,"white or grey hair, trendy hair bleaching"
4946,シリーズ,シリーズ,series
4947,私立,しりつ,private (establishment)
4948,資料,しりょう,"materials, data"
4949,汁,しる,"juice, soup"
4950,素人,しろうと,"layman, amateur, novice"
4951,しわ (かおの～),しわ (かおの～),"wrinkles, creases"
4952,芯,しん,"core, heart, wick"
4953,新幹線,しんかんせん,"Shinkansen, ""Bullet Train"""
4954,真空,しんくう,vacuum
4955,人事,じんじ,"human resources, personnel management"
4956,信ずる,しんずる,to believe
4957,心身,しんしん,mind and body
4958,申請,しんせい,"application, request, petition"
4959,人造,じんぞう,"man-made, synthetic, artificial"
4960,寝台,しんだい,bed
4961,診断,しんだん,diagnosis
4962,侵入,しんにゅう,"invasion, raid, trespass"
4963,人文科学,じんぶんかがく,"social sciences, humanities"
4964,人命,じんめい,(human) life
4965,深夜,しんや,late at night
4966,森林,しんりん,"forest, woods"
4967,親類,しんるい,relative(s) (same as 親戚 (しんせき))
4968,針路,しんろ,"course, direction"
4969,神話,しんわ,"myth, legend"
4970,水産,すいさん,"marine products, fisheries"
4971,炊事,すいじ,cooking
4972,水蒸気,すいじょうき,"water vapor, steam"
4973,水素,すいそ,hydrogen
4974,垂直,すいちょく,"vertical, perpendicular"
4975,推定,すいてい,"presumption, assumption, estimation"
4976,水滴,すいてき,drop of water
4977,水筒,すいとう,"canteen, flask, water bottle"
4978,随筆,ずいひつ,"essays, miscellaneous writings"
4979,水分,すいぶん,moisture
4980,水平,すいへい,"level, horizontal"
4981,水平線,すいへいせん,horizon
4982,水面,すいめん,water's surface
4983,図々しい,ずうずうしい,"impudent, shameless"
4984,ずうっと,ずうっと,"all the time, all the way"
4985,末っ子,すえっこ,youngest child
4986,スカーフ,スカーフ,scarf
4987,図鑑,ずかん,picture book
4988,隙,すき,"unguarded moment, chance"
4989,杉,すぎ,Japanese cedar
4990,好き嫌い,すききらい,"likes and dislikes, taste"
4991,好き好き,すきずき,matter of taste
4992,透き通る,すきとおる,to be(come) transparent
4993,隙間,すきま,"crack, gap, opening"
4994,～過ぎる,～すぎる,too much ~
4995,スクール,スクール,school
4996,図形,ずけい,figure
4997,鈴,すず,bell
4998,涼む,すずむ,"to cool oneself, to cool off"
4999,スタート,スタート,start
5000,スチュワーデス,スチュワーデス,stewardess
5001,すっきり,すっきり,"shapely, clear, neat"
5002,ステージ,ステージ,stage; performance
5003,ストッキング,ストッキング,stockings
5004,ストップ,ストップ,stop
5005,素直,すなお,"obedient, meek, docile"
5006,頭脳,ずのう,"head, brains, intellect"
5007,スピーカー,スピーカー,speaker
5008,図表,ずひょう,"chart, diagram, graph"
5009,スマート,スマート,"smart, stylish, slim"
5010,住まい,すまい,"dwelling, house"
5011,すまない,すまない,sorry (phrase)
5012,～済,～ずみ,finished
5013,相撲,すもう,sumo wrestling
5014,スライド,スライド,slide
5015,ずらす,ずらす,"to put off, to delay"
5016,ずらり,ずらり,"in a line, in a row"
5017,スリッパ,スリッパ,slippers
