Expression,Meaning
終了,"end, close, termination"
重量,heavyweight
重力,gravity
熟語,"idiom, kanji compound"
祝日,national holiday
縮小,"reduction, curtailment"
受験,taking an examination
主語,(gram) subject
主人,(one's own) husband
出勤,"going to work, at work"
述語,predicate
出張,"official tour, business trip"
寿命,life span
主役,leading part
受話器,(telephone) receiver
循環,"circulation, rotation, cycle"
巡査,policeman
順々,"in order, in turn"
順序,"order, sequence, procedure"
純情,pure heart
純粋,"pure, genuine, unmixed"
初～,first ~
諸～,various ~
～所,place
～所,place
女～,things done by women
～女,count for sisters
省～,economizing ~
～省,kind of ministry
～商,"merchant, business"
～勝,count for victory
～条,counter for article
～場,"kind of field, ground"
～畳,"count for tatami, mat"
消化,digestion
小学生,elementary school pupil
しょうがない,It is not worth ~
将棋,Japanese chess
蒸気,"steam, vapor"
定規,(measuring) ruler
上級,"advanced level, high grade, senior"
商業,"commerce, trade, business"
消極的,passive
賞金,"prize, monetary award"
上下,"high and low, up and down"
障子,paper sliding door
商社,trading company
乗車,"taking a train, entraining"
上旬,first 10 days of month
生ずる,"to cause, to arise, to be generated"
小数,"fraction (part of), decimal"
商店,"shop, business firm"
焦点,"focus, point"
消毒,disinfection
勝敗,"victory or defeat, issue (of battle)"
蒸発,evaporation; unexplained disappearance
上品,"refined, elegant, well-mannered"
勝負,"victory or defeat, game"
小便,"(col) urine, piss"
消防署,fire station
正味,net (weight)
正面,front
消耗,"exhaustion, consumption"
初級,elementary level
助教授,assistant professor
～色,kind of color
食塩,table salt
職人,"artisan, craftsman"
職場,workplace
初旬,first 10 days of the month
書籍,"book, publication"
食器,tableware
ショップ,a shop
書店,bookshop
書道,calligraphy
初歩,"elements, rudiments"
白髪,"white or grey hair, trendy hair bleaching"
シリーズ,series
私立,private (establishment)
資料,"materials, data"
汁,"juice, soup"
素人,"layman, amateur, novice"
しわ (かおの～),"wrinkles, creases"
芯,"core, heart, wick"
新幹線,"Shinkansen, ""Bullet Train"""
真空,vacuum
人事,"human resources, personnel management"
信ずる,to believe
心身,mind and body
申請,"application, request, petition"
人造,"man-made, synthetic, artificial"
寝台,bed
診断,diagnosis
侵入,"invasion, raid, trespass"
人文科学,"social sciences, humanities"
人命,(human) life
深夜,late at night
森林,"forest, woods"
親類,relative(s) (same as 親戚 (しんせき))
針路,"course, direction"
神話,"myth, legend"
水産,"marine products, fisheries"
炊事,cooking
水蒸気,"water vapor, steam"
水素,hydrogen
垂直,"vertical, perpendicular"
推定,"presumption, assumption, estimation"
水滴,drop of water
水筒,"canteen, flask, water bottle"
随筆,"essays, miscellaneous writings"
水分,moisture
水平,"level, horizontal"
水平線,horizon
水面,water's surface
図々しい,"impudent, shameless"
ずうっと,"all the time, all the way"
末っ子,youngest child
スカーフ,scarf
図鑑,picture book
隙,"unguarded moment, chance"
杉,Japanese cedar
好き嫌い,"likes and dislikes, taste"
好き好き,matter of taste
透き通る,to be(come) transparent
隙間,"crack, gap, opening"
～過ぎる,too much ~
スクール,school
図形,figure
鈴,bell
涼む,"to cool oneself, to cool off"
スタート,start
スチュワーデス,stewardess
すっきり,"shapely, clear, neat"
ステージ,stage; performance
ストッキング,stockings
ストップ,stop
素直,"obedient, meek, docile"
頭脳,"head, brains, intellect"
スピーカー,speaker
図表,"chart, diagram, graph"
スマート,"smart, stylish, slim"
住まい,"dwelling, house"
すまない,sorry (phrase)
～済,finished
相撲,sumo wrestling
スライド,slide
ずらす,"to put off, to delay"
ずらり,"in a line, in a row"
スリッパ,slippers
狡い,"sly, cunning"
寸法,"measurement, size, dimension"
税関,customs
製作,"manufacture, production"
制作,"work (e.g., film, book)"
清書,clean copy
青少年,"youth, young person"
整数,integer
清掃,cleaning
生存,"existence, being, survival"
政党,(member of) political party
性能,"ability, capability"
整備,"maintenance, overhaul"
成分,"ingredient, component, composition"
性別,"sex, gender"
正方形,square
正門,"main gate, main entrance"
成立,"formation, establishment, completion"
西暦,"Christian Era, after (Christ’s) death (A.D.)"
背負う,to be burdened with; to carry on (one's) back or shoulder(s)
～席,counter for seats
赤道,equator
折角,"with trouble, at great pains, long-awaited"
接近,"getting closer, drawing nearer, approaching"
接する,to attend to (someone); to associate with
せっせと,"busily, away"
接続,"connection, union, join, link; changing trains"
瀬戸物,"earthenware, crockery, china"
ぜひとも,by all means (with sense of not taking 'no' for an answer)
迫る,"to draw near, to press"
ゼミ,seminar
せめて,at least
セメント,cement
台詞,"speech, words, one's lines, remarks"
栓,"stopper, cork, stopcock"
～船,counter for ships
～戦,"counter for games, matches"
前～,"former, late ~, past ~"
～前,before ~
前後,"front and back, before and after"
全集,complete works
扇子,folding fan
専制,"despotism, autocracy"
先々月,month before last
先々週,2 weeks before
先祖,ancestor
先端,"pointed end, tip"
センチ,centimeter
先頭,"head, lead, vanguard"
全般,"(the) whole, general"
扇風機,electric fan
洗面,"wash up (one's face), have a wash"
全力,"all one's power, whole energy"
線路,"line, track, roadbed"
～沿い,along
総～,"gross, general, entire"
～艘,counter for ships
相違,"difference, discrepancy, variation"
そういえば,which reminds me ..
雑巾,"house-cloth, dust cloth"
増減,"increase and decrease, fluctuation"
倉庫,"storehouse, warehouse"
相互,"mutual, reciprocal"
創作,"production, creation, work"
葬式,funeral
造船,shipbuilding
騒々しい,"noisy, boisterous"
増大,"increase, growth"
そうっと,"softly, cautiously, gently"
送別,"farewell, send-off"
草履,Japanese sandals (footwear)
総理大臣,Prime Minister
送料,"postage, carriage"
～足,counter for shoes
属する,"to belong to, to come under"
続々,"successively, one after another"
速達,"express, special delivery"
測定,measurement
測量,"measurement, surveying"
速力,speed
素質,"talent, capability"
祖先,ancestor(s)
そそっかしい,"careless, thoughtless"
卒直,"frank, candid, honest"
そのころ,"in those days, at that time, then"
そのため,"hence, for that reason"
その他,besides
剃る,to shave
それなのに,"though, although"
それなら,"If that's the case..., If so..., That being the case..."
それはいけませんね (かん),that's not good
逸れる,"to stray (turn) from subject, to go astray"
算盤,abacus
存じる,(humble) to know
存ずる,(humble) to know
損得,"loss and gain, advantage and disadvantage"
田ぼ,"paddy field, farm"
第～,~th
だいいち (とりわけ),"first, foremost,&nbsp;&nbsp;#1"
大学院,graduate school
大工,carpenter
体系,"system, organization"
太鼓,"drum, tambourine"
対策,"counter-plan, counter-measure"
大して,"(not so) much, (not) very"
大小,size
体制,"order, system, structure"
体積,"capacity, volume"
大層,"very much, greatly"
体操,"gymnastics, physical exercises, calisthenics"
大分,"considerably, greatly, a lot"
大木,large tree
代名詞,pronoun
タイア,"tire, tyre"
ダイヤグラム,diagram
ダイヤモンド,diamond
ダイヤル,dial
対立,"confrontation, opposition, antagonism"
田植え,rice planting
絶えず,constantly
楕円,ellipse
耕す,"to till, to plow, to cultivate"
滝,waterfall
蓄える,"to save, to store, to lay in stock"
竹,bamboo
ただいま,"Here I am, I'm home!"
但し,"but, however, provided that"
立ち止まる,"to stop, to halt, to stand still"
たちまち,"instantly, suddenly, all at once"
発,"to depart (e.g., on a plane, train)"
脱線,"derailment, digression"
妥当,"proper, appropriate"
例える,"to compare, to liken"
頼もしい,"reliable, promising"
ダブル,double
ダム,dam
溜息,a sigh
ためらう,to be hesitant
～だらけ,"be full of ~, be filled with ~"
だらしない,"slovenly, loose, a slut"
足る,"to be sufficient, to be enough"
短～,short ~
～団,"group, corps, party"
オーケストラ,orchestra
おおざっぱ,"rough (not precise), broad, sketchy"
大通り,main street
オートメーション,automation
大凡,"about, approximately"
お帰り,"return, welcome"
おかけください,please sit down
おかげさまで,"Thanks to god, thanks to you"
おかず,"side dish, accompaniment for rice dishes"
おかまいなく,please don't fuss over me
拝む,"to worship, to pray"
お代わり,"second helping, another cup"
補う,to compensate for
お気の毒に,I'm sorry to hear that…
屋外,outdoors
送り仮名,part of word written in kana
お元気で,Take care'
怠る,"to neglect, to fail"
お先に,"before, after you"
伯父,(humble) uncle (older than one's parent)
叔父,uncle (younger than one's parent)
惜しい,"regrettable, disappointing"
伯父さん,"(hon.) middle-aged gentleman, uncle"
小父さん,"(hon.) middle-aged gentleman, uncle"
叔父さん,"(hon.) middle-aged gentleman, uncle"
お邪魔します,Excuse me for disturbing you
お世話になりました,I've been in your care
お大事に,"Take care of yourself, Take care!, Get well soon"
落着く,"to calm down, to settle down"
お出掛け,outing
お手伝いさん,maid
脅かす,"to threaten, to coerce"
落し物,lost property
驚かす,"to surprise, to frighten"
お願いします,"Please (lit., I request)"
各々,"each, every, either"
伯母,(humble) aunt (older than one's parent)
叔母,aunt (younger than one's parent)
小母さん,"lady, woman, ma'am"
おはよう,(abbr.) Good morning
お参り,"worship, shrine visit"
お待たせしました,Sorry to have kept you waiting
お待ちください,Please wait a moment
おまちどおさま,Sorry to have kept you waiting
おめでたい,"happy event, matter for congratulation"
思い掛けない,"unexpected, casual"
思い切り,"with all one's strength (heart), resignation, resolution"
思い込む,"to be under impression that, to be convinced that"
思いっ切り,"very, much, fully"
重たい,"heavy, massive, serious"
お休み,"holiday, absence; (exp.) Good night"
おやつ,"between meal snack, afternoon refreshment"
親指,thumb
オルガン,organ
恩恵,"blessing, benefit"
温室,greenhouse
温泉,"spa, hot spring"
温帯,temperate zone
御中,Messrs.
女の人,woman
～日,counter for days
～下,under ~
～化,action of making something
～科,"family, group, course"
～歌,song of ~
～画,"picture, painting"
カーブ,curve; curve ball (baseball)
外～,"foreign ~, outside ~"
～外,out of ~
開会,opening of a meeting
会館,"meeting hall, assembly hall"
改札,examination of tickets
解散,"breakup, dissolution"
海水浴,"sea bathing, seawater bath"
回数,"number of times, frequency"
回数券,book of tickets
改正,"revision, amendment, alteration"
快晴,good weather
解説,"explanation, commentary"
改造,remodeling
開通,"opening, open"
回転,"rotation, turning"
解答,"answer, solution"
回答,"reply, answer"
外部,"the outside, external"
解放,"release, liberation, emancipation"
開放,"open, throw open, liberalization"
海洋,ocean
概論,"introduction, general remark"
却って,"on the contrary, rather"
家屋,"house, building"
係わる,"to concern oneself in, to be involved in"
書留,registered mail
書取,dictation
垣根,hedge
限り,"limit(s), as far as possible"
各～,"every ~, each ~"
架空,"imaginary, fiction, fanciful"
各自,"individual, each"
拡充,expansion
学術,"science, learning, scholarship"
各地,various parts of the country
拡張,"expansion, extension"
角度,angle
学年,"year in school, grade in school"
格別,exceptional
確率,probability
学力,"scholarship, knowledge"
掛け算,multiplication
可決,"approval, adoption (e.g., motion, bill), passage"
火口,crater (of a volcano)
下降,"decline, descent, fall"
火山,volcano
かしこまりました,Certainly
貸し出し,"lending, loaning"
過失,"error, mistake, negligence"
果実,fruit
貸間,room to let
貸家,house for rent
箇所,"place, point, part"
過剰,"excess, over-"
かじる,"to chew, to bite (at)"
課税,taxation
下線,"underline, underscore"
カセット,cassette (tape)
加速,acceleration
加速度,acceleration
塊,"lump, mass, cluster"
固まる,"to harden, to solidify, to become firm"
片道,one-way (trip)
傾く,"to incline toward, to slant, to lurch"
片寄る,"to be one-sided, to incline, to be partial"
～がち,tend to do ~
学科,"study subject, course of study"
学会,academic conference
学級,class
担ぐ,"to shoulder, to carry on shoulder"
括弧,"parenthesis, brackets"
活字,printing type
勝手に,"arbitrarily,"
活力,"vitality, energy"
仮名,kana
仮名遣い,"kana orthography, syllabary spelling"
加熱,heating
兼ねる,to simultaneously serve two or more functions
カバー,"cover (e.g., book)"
過半数,majority
かび (～がはえる),"mold, mildew"
被せる,to cover (with something)
釜,"iron pot, kettle"
構いません,it's all right; one doesn’t mind
紙屑,wastepaper
神様,god
剃刀,razor
ガム,chewing gum
貨物,"cargo, freight"
カラー,"collar, color"
からかう,"to ridicule, to make fun of"
空っぽ,"empty, vacant, hollow"
かるた,playing cards (POR: carta)
枯れる,"to wither, to die (plant), to be blasted (plant)"
カロリー,calorie
可愛がる,"to love, to be affectionate"
為替,"money order, exchange"
瓦,roof tile
～刊,"~ issued (magazine, newspaper)"
～間,"between, during"
～巻,volume
～館,"~ hall, ~ building"
～感,"feeling, sense, impression"
換気,ventilation
感激,"deep emotion, impression, inspiration"
関西,"south-western half of Japan, including Osaka"
元日,New Year's Day
鑑賞,appreciation
感ずる,"to feel, to sense"
間接,"indirect, indirectness"
観測,observation
寒帯,frigid zone
官庁,"government office, authorities"
勘違い,"misunderstanding, wrong guess"
缶詰,"canning, canned goods,"
乾電池,"dry cell, battery"
関東,"eastern half of Japan, including Tokyo"
観念,"idea, notion; sense"
乾杯,Cheers! (a toast)
看板,"sign, signboard"
看病,nursing (a patient)
冠,"crown, wreath"
漢和,"Chinese Character-Japanese (e.g., dictionary)"
～期,"~age, ~period"
～器,"device, equipment"
～機,machine
気圧,atmospheric pressure
着替え,"changing clothes, change of clothes"
着替える,to change (one's) clothes
機関車,"locomotive, engine"
飢饉,famine
器具,instrument
記号,"symbol, code"
刻む,"to mince, to carve, to engrave"
儀式,"ceremony, rite, ritual"
基準,"standard, basis, criteria"
規準,"standard, basis, criteria"
起床,"rising, getting out of bed"
着せる,to put on clothes
基礎,"foundation, basis"
基地,base
きっかけ,"prompt, trigger, cue"
ぎっしり,"tightly, fully"
基盤,"foundation, basis"
～気味,slightly ~
客席,guest seating
客間,"parlor, guest room"
ギャング,gang
キャンパス,campus
休業,"closure, shutdown, holiday"
休講,lecture canceled
給与,salary
休養,"rest, break, recreation"
清い,"clear, pure, noble"
～教,religion
～行,"line, row"
～業,type of business
強化,"strengthen, intensify, reinforce"
境界,boundary
共産～,communist ~
行事,"event, function"
恐縮,sorry to trouble
教養,"culture, education, sophistication"
行列,"line, procession; matrix (math)"
漁業,fishing (industry)
曲線,curve
規律,"order, rules, law"
斬る,"to behead, to murder"
～きる,"nevertheless, to carry through"
～切れ,out of ~
気を付ける,"to be careful, to pay attention, to take care"
金魚,goldfish
区域,"zone, district, area"
空～,empty ~
偶数,even number
空想,"daydream, fantasy"
空中,"sky, air"
クーラー,air conditioner
釘,nail
区切る,"to punctuate, to cut off, to mark off"
櫛,comb
くしゃみ,sneeze
苦情,"complaint, grievance, grumble"
苦心,"pain, trouble"
屑,"waste, scrap"
崩す,"to destroy, to make change (money)"
薬指,ring finger
崩れる,"to collapse, to crumble"
砕く,"to break, to smash"
砕ける,"to break, to be broken"
くたびれる,"to get tired, to wear out"
くだらない,"good-for-nothing, stupid, worthless"
～口,"~ opening; ~ entrance, ~ exit"
唇,lip
口紅,lipstick
くっつく,"to adhere to, to keep close to"
くっつける,to attach
くどい,"verbose, importunate, heavy (taste)"
句読点,punctuation marks
配る,"to distribute, to deliver"
工夫,"device, artifice, ingenuity"
区分,"division, section, classification"
組合せ,combination
組み立てる,"to assemble, to set up, to construct"
悔やむ,"to regret, to mourn"
クリーニング,"cleaning, dry cleaning, laundry service"
くるむ,"to be enveloped by, to wrap up"
くれぐれも,"repeatedly, sincerely, earnestly"
～家,"~'s family, the house of ~"
～形,shape of ~
～系,"~ system, ~ lineage, ~ group"
稽古,"practice, training, study"
敬語,"honorific language (lit., respect language)"
蛍光灯,fluorescent lamp
形式,"form, formality, format"
継続,continuation
毛糸,knitting wool
経度,longitude
系統,"system, genealogy"
芸能,"public entertainment, performing arts"
競馬,horse racing
警備,"defense, guard, policing, security"
形容詞,adjective
形容動詞,"adjectival noun, quasi-adjective"
外科,surgical department
毛皮,"fur, skin, pelt"
激増,sudden increase
下車,"alighting, getting off"
下旬,month (last third of)
下水,"drainage, sewage, ditch, gutter, sewerage"
削る,"to cut down little by little, to take a percentage"
桁,"column, beam, digit"
下駄,"(Japanese footwear), wooden clogs"
血圧,blood pressure
月給,monthly salary
傑作,"masterpiece, best work"
月末,end of the month
気配,"indication, sign, hint"
下品,"vulgar, indecent, coarse"
煙い,smoky
険しい,"steep, rugged; severe"
～圏,"bloc, sphere, area"
現～,"present, incumbent"
見学,"tour, study by observation"
謙虚,"modesty, humble"
原稿,"manuscript, copy"
原産,place of origin
原始,"origin, primeval"
研修,training
厳重,"strict, severe, firm"
謙遜,"humble, humility, modesty"
県庁,prefectural office
限度,"limit, bounds"
現に,"actually, really"
顕微鏡,microscope
懸命,"eagerness, strenuous"
原理,"principle, theory, fundamental truth"
原料,raw materials
小～,small ~
恋しい,"dear, beloved; to miss"
高～,high (level) ~
～校,counter for school
～港,~ port
～号,counter for magazine; the name of ship
工員,factory worker
強引,"forcible, assertive, pushy"
公害,"public nuisance, pollution"
高級,high class; first-rate
公共,"public, community, communal"
工芸,industrial arts
孝行,filial piety
交差,cross
講師,lecturer
工事,construction work
公式,"formula, formality, official"
口実,excuse
こうして,"like this, with this"
公衆,the public
香水,perfume
功績,"achievements, merit"
光線,"beam, light ray"
高層,"tall, high rise"
構造,"structure, construction"
交替,"change, relief, alteration"
耕地,arable land
交通機関,transportation facilities
校庭,school yard
肯定,"positive, affirmation"
高度,"altitude, height; advanced"
高等,"high class, high grade"
合同,"combination, incorporation"
高等学校,senior high school
公表,"official announcement, proclamation"
鉱物,mineral
公務,"official business, public business"
項目,item
紅葉,fall colors (of leaves)
合理,rational
交流,exchange; alternating current
合流,"confluence, merge, join"
効力,"effect, efficacy"
コース,course
コーラス,chorus
焦がす,"to burn, to scorch"
～国,nation of ~
国王,king
国立,national
ご苦労様,Thank you for your had work
焦げる,"to burn, to be burned"
凍える,"to freeze, to be chilled, to be frozen"
心当たり,"having some knowledge of, happening to know"
心得る,"to understand, to have thorough knowledge"
腰掛け,"seat, bench"
腰掛ける,to sit (down)
五十音,the Japanese syllabary
こしらえる,"to make, to manufacture"
擦る,"to rub, to chafe, to file, to frost (glass), to strike (match)"
個体,an individual
ごちそうさま,Thank you for the meal
こちらこそ,it is I who should say so
小遣い,"pocket money, allowance"
コック,"cook; tap, cock"
こっそり,"stealthily, secretly"
古典,"classics, classic"
～毎,"every ~, each ~"
〜 (まる) ごと,"whole ~, all of ~"
言付ける,to leave a message
言葉遣い,"speech, expression, wording"
こないだ,"the other day, lately, recently"
御無沙汰,not writing or contacting for a while
ゴム,"gum, rubber"
御免,"declining (something); pardon, sorry"
ごめんください,"May I come in, Is anyone here"
小指,little finger
堪える,"to bear, to endure, to put up with"
娯楽,"pleasure, amusement, recreation"
御覧,"(hon.) look, inspection, try"
コレクション,collection; correction
転がす,to roll
転がる,"to roll, to tumble"
紺,"navy blue, deep blue"
今～,"this, current"
コンクール,contest (FRE: concours)
コンクリート,concrete
混合,"mixing, mixture"
コンセント,consent; power outlet
献立,menu
こんばんは,good evening
サークル,"circle, sports club (e.g., at a company)"
再～,re ~
最～,the most ~
在学,(enrolled) in school
再三,"again and again, repeatedly"
祭日,"national holiday, festival day"
催促,"demand, urge (action), press for"
採点,"marking, grading"
災難,"calamity, misfortune"
裁縫,sewing
材木,"lumber, timber"
サイレン,siren
逆さ,"reverse, upside down"
逆様,"reverse, upside down"
捜す,"to search, to seek, to look for"
遡る,"to go back, to date back; ascend"
酒場,"bar, bar-room"
一昨昨日,"two days before yesterday, three days ago"
先程,a little while ago
索引,"index, indices"
作者,"author, artist"
削除,"elimination, deletion"
作成,"creation, preparation, to make"
作製,"manufacture, production"
探る,"to search, to look for, investigate"
囁く,"to whisper, to murmur"
匙,spoon
座敷,tatami room
差し支え,"hindrance, impediment"
差し引き,"deduction, balance"
刺身,sliced raw fish
(かさを～) さす,to open; hold (an umbrella)
流石,"indeed, truly, as one would expect"
撮影,photographing
雑音,"noise (jarring, grating)"
さっさと,quickly
早速,"at once, immediately, promptly"
錆,rust (color)
錆びる,"to rust, to become rusty"
座布団,cushion (Japanese)
妨げる,"to disturb, to prevent"
さようなら,good-bye
サラリーマン,salaryman; company employee
騒がしい,noisy
さわやか,"fresh, refreshing"
～山,the name of mountain
～産,made in ~
三角,"triangle, triangular"
算数,arithmetic
産地,producing area
サンプル,sample
山林,mountain forest
～史,history of ~
～紙,"newspaper, type of paper"
～寺,the name of temple
仕上がる,to be finished
明明後日,two days after tomorrow
シーズン,season (sporting)
シーツ,sheet
寺院,temple
しいんと (する),"silent (as the grave), (deathly) quiet"
自衛,self-defense
塩辛い,salty (taste)
司会,"host, chairperson"
四角い,square
仕方がない,"it can't be helped, it's inevitable"
～時間目,"~th hour, ~th period"
時間割,"timetable, schedule"
〜(日本) 式,"custom,"
敷地,site
敷く,"to spread out, to lay out"
茂る,to grow thick
持参,"bringing, taking, carrying"
磁石,magnet
四捨五入,rounding up (fractions)
始終,"continuously, always, constantly"
自習,self-study
静まる,"to quieten down, to calm down"
姿勢,attitude; posture
自然科学,natural science
時速,speed (per hour)
子孫,"descendant, offspring"
死体,corpse
下書き,"rough copy, draft"
自宅,one's own home (same as 自分の家 (じぶんのいえ))
下町,old parts of town
自治,"self-government, autonomy"
室～,room
～室,counter for room
～日,day
実感,"feelings, realization"
湿気,"moisture, humidity, dampness"
しつこい,"insistent, obstinate"
実習,"practice, training"
実績,"achievements, actual results"
執筆,writing
実物,an actual thing
しっぽ,tail (animal)
実用,"practical use, utility"
しつれいしました (かん),"Excuse me., I'm sorry."
実例,"example, instance"
失恋,"broken heart, unrequited love"
指定,"designation, specification, assignment"
私鉄,private railway
縛る,"to tie, to bind"
地盤,(the) ground
しびれる,to become numb
紙幣,"paper money, notes, bills"
しぼむ,"to wither, to shrivel"
絞る,"to press, to wring, to squeeze"
縞,stripe
～おしまい (おわり),end up ~
しみじみ,"keenly, deeply, heartily"
氏名,full name
締切,deadline
締め切る,"to close, cancel"
しめた (かん),"I've got it, all right, fine"
地面,"ground, earth's surface"
～車,~ car
～者,person
～社,counter for company
ジャーナリスト,journalist
社会科学,social science
しゃがむ,to squat
蛇口,"faucet, tap"
弱点,"weak point, weakness"
車庫,"garage, car shed"
車掌,(train) conductor
写生,"sketching, drawing from nature"
社説,editorial
しゃっくり,"hiccough, hiccup"
シャッター,shutter
しゃぶる,"to suck, to chew"
車輪,(car) wheel
洒落,"joke, pun, witticism"
じゃんけん,rock-scissors-paper game
～手,"~ player, person who does ~"
～酒,kind of alcohol
～集,collection of ~
重～,heavy ~
集会,"meeting, assembly"
集金,money collection
集合,"gathering, assembly"
習字,penmanship
修繕,"repair, mending"
じゅうたん (カーペット),carpet
終点,"terminus, last stop (e.g train)"
重点,"important point, lay stress on, emphasis"
リズム,rhythm
リットル,liter
リボン,ribbon
略す,to abbreviate
～流,"fashion, manner, way"
流域,(river) basin
両～,both ~
～料,"fare, charge"
～領,territory
両側,both sides
漁師,fisherman
領事,consul
領収,"receipt, voucher"
～力,power of ~
臨時,"temporary, special, extraordinary"
留守番,"care-taking, caretaker, house-watching"
零点,"zero, no marks"
冷凍,"freezing, cold storage, refrigeration"
レインコート,raincoat
レクリェーション,recreation
レジャー,leisure
列島,chain of islands
リポート,"report, paper"
煉瓦,brick
連合,"union, alliance"
レンズ,lens
ろうそく,candle
ローマ字,"romanization, Roman letters (alphabet)"
録音,(audio) recording
ロッカー,locker
ロビー,lobby
～論,theory
論ずる,"to argue, to discuss"
和～,Japanese style
～羽,counter for rabbits; birds
和英,Japanese-English
我～,our ~
若々しい,"youthful, young"
詫びる,to apologize
和服,Japanese clothes
割合に,"relatively, comparatively"
割算,division (math)
割と,"relatively, comparatively"
割引,discount
ワンピース,one-piece dress
アイデア; アイディア,idea
あいまい,"vague, ambiguous"
扇ぐ,"to fan, to flap"
青白い,pale
呆れる,"to be shocked, to be appalled"
アクセント,accent
あくび,yawn
飽くまで,"to the end, to the last, stubbornly"
明くる～,"next, following"
明け方,dawn
憧れる,"to long for, to yearn after"
朝寝坊,"oversleeping, late riser"
足跡,footprint
足元,at one's feet
味わう,"to taste, to savor"
あちらこちら,here and there
厚かましい,"impudent, shameless,"
圧縮,"compression, condensation, pressure"
宛名,"address, direction"
当てはまる,"to be applicable, to come under (a category)"
当てはめる,"to apply, to adapt"
暴れる,"to act violently, to rage"
あぶる,"to scorch, to roast"
あふれる,"to flood, to overflow"
雨戸,sliding storm door
甘やかす,"to pamper, to spoil"
余る,"to be left over, to be in excess"
編み物,knitting
編む,to knit
危うい,"dangerous, critical"
怪しい,"suspicious, dubious, doubtful"
荒い,"rough, rude, wild"
粗い,"coarse, rough"
粗筋,"outline, synopsis"
改めて,"another time, again"
改める,"to change, to reform, to revise"
有難い,"grateful, thankful, appreciated"
あれこれ,"one thing or another, this and that"
荒れる,"to be stormy, to be rough, to be ruined"
慌ただしい,"busy, hurried"
安易,easy-going
アンテナ,antenna
～位,~th place
言い出す,"to start talking, to suggest"
言い付ける,"to tell, to order"
意義,"meaning, significance"
生き生き,"vividly, lively"
いきなり,all of a sudden
幾～,several ~
育児,"childcare, nursing"
幾分,somewhat
生け花,flower arrangement
以後,after this; from now on; hereafter
以降,"on and after, hereafter"
イコール,equal
勇ましい,"brave, valiant"
衣食住,"food, clothing and shelter"
～いち (にほんいち),No. 1 ~ (in)
いちいち,"one by one, separately"
一応,"tentatively, for the time being"
一段と,"by far, greater"
一流,"first class, leading"
一昨日,day before yesterday
一昨年,year before last
一斉,"simultaneous, all at once"
一旦,"once, for a moment"
一定,"fixed, settled, regular"
行っていらっしゃい,"have a nice day, see you"
行ってらっしゃい,"have a nice day, see you"
いってまいります,"(Lit.) I'll go and come back, 'I'm going, see you later'"
いってきます,"(Lit.) I'll go and come back, 'I'm going, see you later'"
移転,"moving, transfer"
井戸,water well
緯度,latitude (navigation)
威張る,"to be proud, to swagger"
嫌がる,"reluctant, to dislike"
いよいよ,"more and more, increasingly, at last"
煎る,to roast
炒る,"to parch, to roast"
入れ物,"container, case"
インキ,ink
引力,gravity
ウーマン,woman
ウール,wool
ウエートレス,waitress
植木,"garden shrubs, trees, potted plant"
飢える,to starve
浮ぶ,"to float, to rise to surface, to come to mind"
浮かべる,to float; to express
浮く,to float
承る,"(humble) to hear, to be told, to know"
受取,receipt
受け持つ,to take (be in) charge of
薄暗い,"dim, gloomy"
薄める,"to dilute, to water down"
打合せ,"business meeting, previous arrangement"
打ち消す,"to deny, to negate"
うどん,udon noodles (Japanese traditional noodles)
うなずく,to nod
敬う,"to show respect, to honor"
裏返す,"to turn inside out, to turn (something) over"
裏口,"backdoor, rear entrance"
占う,"to predict, to divine"
恨み,resentment
恨む,"to curse, to feel bitter"
羨む,to envy
売上,"amount sold, proceeds"
売り切れ,sold-out
売り切れる,to be sold out
売行き,sales
うろうろ,"loitering, aimless wandering"
上～,upper ~
運河,"canal, waterway"
うんと,"a great deal, very much"
英文,sentence in English
英和,"English-Japanese (e.g., dictionary)"
ええと,"let me see, well, er..."
液体,"liquid, fluid"
エチケット,etiquette
絵の具,"colors, paints"
エプロン,apron
偉い,"great, celebrated, remarkable,"
～園,~ garden (especially man made)
宴会,"party, banquet"
園芸,"horticulture, gardening"
演劇,play (theatrical)
円周,circumference
遠足,"trip, hike, picnic"
延長,"extension, prolongation"
煙突,chimney
御～,honorific ~
追いかける,to chase or run after someone
追い越す,"to pass (e.g., car), to outdistance, to outstrip"
オイル,oil
王女,princess
応ずる,"to respond, to comply with"
応接,reception
応対,"receiving, dealing with"
往復,"(col) round trip, coming and going, return ticket"
欧米,"Europe and America, the West"
応用,"application, put to practical use"
電波,electro-magnetic wave
テンポ,tempo
電流,electric current
電力,electric power
問い合わせ,inquiry
～頭,counter for animals
～等,"level, place"
～島,kind of islands
銅,copper
同～,same ~
～道,"kind of path, road"
どういたしまして (かん),"you are welcome, don't mention it"
統一,"unity, consolidation, uniformity"
同格,"the same rank, equality, apposition"
峠,"ridge, (mountain) pass, difficult part"
統計,"scattering, a scatter, dispersion"
動作,"action, movements, motions"
東西,"East and West, whole country"
当日,"appointed day, very day"
投書,"letter to the editor, letter from a reader, contribution"
登場,entry (on stage)
どうせ,"anyhow, in any case, at any rate"
灯台,lighthouse
盗難,"theft, robbery"
当番,being on duty
等分,division into equal parts
透明,"transparency, cleanness"
灯油,"lamp oil, kerosene"
童話,fairy tale
～通り,"in accordance with ~; following ~; ~ street, ~ avenue"
通り掛かる,to happen to pass by
